NAMA OBAT,STOK,HARGA BELI,TOTAL
RHINOS SR,10,,    
ROSUVASTATIN 20MG,90,5400,486000
RENAPAR 400MG,70,2500,175000
RENADINAC 25MG,90,242,21780
RANITIDINE 150MG,72,230,16560
SALBUTAMOL 2MG,210,101,21210
SIMVASTATIN 20MG,567,933,529011
SIMVASTATIN 10MG,1530,486,743580
SIMARC 2MG,213,1530,325890
SALBUTAMOL 4MG,250,200,50000
TEOSAL,10,,    
TRIFED,25,3200,80000
TREMENZA,90,1658,149220
TRIZEDON 80MG,25,7840,196000
TRIZEDON MR 2MG,225,3920,882000
TRANEXAMIC ACID 500MG,390,920,358800
UPERIO 50MG,18,7691,138438
VARDIPINE 5/80MG,40,10500,420000
URSODEOXYCHOLIC ACID 250MG,67,4200,281400
THYROZOL 5MG,23,,    
VOLTADEX 50MG,150,540,81000
AMITRIPTILYNE 25MG,83,,    
BAMGETOL 200MG,175,1325,231875
HEXYMER 2MG,250,425,106250
"SIFROL 0,75MG",30,,    
"SIFROL 0,375MG",60,,    
LODOMER 2MG,0,,    
TRAMPARA,90,4833,434970
GENOINT SALEP,1,,    
ERLAMYCETIN TETES TELINGA,1,,    
ERLAMICETIN PLUS TETES MATA,3,11000,33000
POLIDEMISIN 5ML,0,29100,    
ERLAMICETIN SALEP MATA,5,9500,47500
CENDO XITROL,1,27252,27252
CENDO CATARLENT,2,,    
NEBACETIN POWDER,2,,    
PIRACETAM 800MG,60,650,39000
PARACETAMOL INFUS,11,,    
METRONIDAZOLE INFUS,12,36200,434400
CEFTRIAXONE INJEKSI,5,,    
URINE BAG,1,,    
MASKER OKSIGEN,1,,    
WING NEEDLE,2,,    
IV CANULA,1,,    
RINGER LACTAT 500CC,3,11000,33000
NACL 500CC,7,9459,66213
FUROSEMIDE INJEKSI,30,,    
RANITIDINE INJEKSI,18,,    
ANTRAIN INJEKSI,4,,    
ONDANSETRONE INJEKSI,5,,    
ANDALAN 1 BULAN,11,,    
ANDALAN 3 BULAN,23,8150,187450
VENTOLIN NEBULISER,20,10404,208080
MADU TJ 500G,4,47016,188064
MADU TJ 250G,3,25445,76335
MADU TJ 150G,3,25044,75132
VICKS VAPORUB 25G,6,15936,95616
KOMIX OBH,6,1247,7482
VICKS INHALER,2,14408,28816
VICKS VAPORUB 10G,11,6573,72303
FRESHCARE STRONG,6,11560,69360
FRESHCARE FRUITY,2,11560,23120
FRESHCARE LAVENDER,3,11560,34680
FRESHCARE CITRUS,3,11560,34680
FREASHCARE GREENTEA,1,11560,11560
FRESHCARE SPORT,4,11560,46240
FRESHCARE MIX,3,10425,31275
SAFECARE ORIGINAL,6,13890,83340
SAFECARE STRONG,6,13890,83340
STREPCILLS ORIGINAL,4,13815,55260
DEGIROL,8,4726,37808
ANTANGIN,24,2612,62688
TOLAK ANGIN,24,3005,72120
MKP CAPLANG 120ML,5,37093,185465
MKP CAPLANG 60ML,1,19240,19240
MKP CAPLANG 30ML,19,9990,189810
MKP CAPLANG 15ML,10,5458,54580
MINYAK TAWON CC,10,19883,198830
MINYAK TAWON DD,2,26917,53834
MINYAK GANDAPURA,8,7037,56296
MINYAK GPU,3,8580,25740
ALAT TENSIONE,2,115000,230000
ALAT NESCO GCU,2,245000,490000
EASY TOUCH GCU,2,245000,490000
EASY TOUCH GLUCOSA,2,245000,490000
EASY TOUCH CHOLESTEROL,4,154000,616000
EASY TOUCH ASAM URAT,6,90000,540000
NESCO GLUCOSA,5,90000,450000
NESCO CHOLESTEROL,6,145000,870000
NESCO ASAM URAT,4,90000,360000
BLOOD LANCET,10,10000,100000
GLOCO DR,4,90000,360000
MASKER MEDIS ONEMED,2,25000,50000
ULTRAFIX 15X5,2,18000,36000
MASKER MEDIS SENSI,1,25000,25000
MASKER UFO,1,19000,19000
HANSAPLASH ROL,8,5000,40000
MASKER KF94,4,2200,8800
ALAT PEMOTONG TABLET,16,9999,159984
PRORIS FORTE SIRUP,1,27500,27500
PAMOL SIRUP,1,32000,32000
PIMTRAKOL,1,,    
OBH ANAK ,1,11755,11755
SANMOL SIRUP,1,16580,16580
PARACETAMOL SIRUP,6,3950,23700
SIRUP SILUS,3,,    
BODREX EKSTRA,104,488,50752
BODREX MIGRA,120,2435,292200
BODREX FLU & BATUK,76,11303,859028
PUYER BINTANG TOEDJO 16,35,630,22050
INZA,92,,    
INZANA,48,,    
DECOLSIN,56,556,31136
DECOLGEN,32,1582,50624
ULTRAFLU,100,2733,273300
PANADOL FLU & BATUK,140,1255,175700
PANADOL,10,,10400
PANADOL EKSTRA,110,1040,58300
SUMAGESIC 600MG,231,530,122430
PARACETAMOL 500MG,347,200,69400
ALPARA,130,780,101400
SANMOL TAB 500MG,148,441,65268
MIXAGRIP FLU,16,,    
DUMIN 500MG,129,598,77142
INTUNAL F,100,750,75000
NEO RHEUMACYL,110,390,42900
ENTROSTOP,85,594,50490
PEDITOX,3,8000,24000
AMBEVEN,114,1852,211128
COMBANTRIN TAB,22,13927,306394
MICROLAX,3,18900,56700
ORALIT,18,,    
DULCOLAX TAB,28,,    
FORUMEN,1,28999,28999
CENDO LYTEERS,1,23625,23625
CENDO LYTEERS MINIDOSE,16,,    
CENDO CENFRESH,3,34875,104625
CENDO EYEFRESH,1,28875,28875
CENDO EYEFRESH MINIDOSE,10,23125,231250
ROHTO,4,9990,39960
INSTO,5,11500,57500
HEPARMIN,65,7000,455000
HEPAMAX,150,10500,1575000
IMBOOST FORCE,20,6043,120860
IMBOOST ULTIMA,15,7931,118965
IMBOOST,60,,    
BECOMZET,132,2310,304920
REDOXON,1,36902,36902
CDR,3,73820,221460
ESTER C,36,,    
ASTA PLUS,14,,    
INBUMIN 250MG,30,,    
INLACIN 50MG,54,,    
INLACIN 100MG,18,,    
ONOIWA,30,6333,189990
MALTOFER,24,,    
EVER E 250MG,1,,    
PROVE D3 1000,30,4033,120990
PROSTAKUR,30,,    
FOLIC ACID 1MG,946,82,77572
FOLAVIT,230,968,222640
THERAGRAN M,48,5000,240000
ZEGAVIT,94,4000,376000
DEMACOLIN,751,485,364235
VITAMIN B KOMPLEKS,490,85,41650
VITAMIN B6,50,,    
VITAMIN C 100MG,64,,    
VITAMIN C 50MG,445,,    
TABLET TAMBAH DARAH,360,460,165600
CURVIT,40,1800,72000
CURCUMA TABLET,81,929,75249
CALCIUM LACTATE,60,,    
CAVIPLEX,80,735,58800
NEURODEX,122,550,67100
LIVRON BPLEX,130,261,33930
FARBOIN,68,,    
NEUROBION,85,2093,177905
NEUROBION FORTE,20,,    
SANGOBION,206,1509,310854
BODREX ,200,5346,1069200
CTM,411,1051,431961
CETIRIZINE 10MG,214,300,64200
NATRIUM BICARBONATE,906,110,99660
GUAIFENISIN,153,,    
ANTIMO,370,,    
ANTASIDA,274,149,55130
DISFLATYL,30,,    
PROMAG,130,633,82290
ZINK,111,,    
DEXANTA,30,,    
ACITRAL,20,,
BATUGIN,5,,    
HUFAGRIP BP,8,,    
HUFAGRIP PILEK,4,,    
DEMACOLIN SIRUP,2,,    
LASERIN MADU,1,,    
SCOOT'S EMULSION,1,,    
CAVIPLEX SIRUP,8,,    
ACITRAL SIRUP,3,44500,133500
MYLANTA,3,12900,38700
VITABUMIN,1,55200,55200
APIALYS,1,,    
LAXADINE 60ML,1,,    
LAXADINE 30ML,1,,    
LACTULOSE SIRUP,3,86700,260100
PSIDII SIRUP,1,,    
IMBOOST FORCE KIDS,1,58750,58750
CURCUMA PLUS,3,34650,103950
TONIKUM BAYER,2,,    
SANGOBION SIRUP,3,,    
OBH COMBI MADU,5,16371,81855
OBH COMBI MENTOL,5,13090,65450
OB HERBAL 100ML,2,,    
RHINOS NEO,2,59850,119700
RHINOS JUNIOR,3,46200,138600
SILADEX MERAH,1,11800,11800
SILADEX BIRU,2,12583,25166
WOODS HERBAL,2,,    
WOODS EXPECTORAN,1,16656,16656
LACTULAX SIRUP,4,49500,198000
ACTIFED,1,,    
VICKS FORMULA ANAK,3,16641,49923
SANMOL DROPS,2,18190,36380
PRORIS HIJAU,1,25150,25150
GENTIAN VIOLET,1,,    
BETADINE MOUTH WASH,6,27000,162000
THROMBOGEL,2,,    
CAP KAKAK TUA,2,11750,23500
COUNTEAIN COOL 15G,3,7700,23100
COUNTEIAN 30GR,1,37300,37300
PABANOX,1,,    
COUNTEAIN 5G,2,7700,15400
TRANSPULMIN KIDS,4,44940,179760
MOLAKRIM,3,,    
TRANSPULMIN BABY,2,43000,86000
NEO RHEUMACYL KRIM,1,390,390
VOLTAREN GEL,2,,    
HOTIN CFREAM BTL MERAH 60G,1,12600,12600
HOTIN CREAM HIJAU BTL 60G,1,12958,12958
HOT INI CREAM MERAH BTL 60G,2,13300,26600
HOT IN KRIM TUBE 60G,1,15484,15484
HOT IN CREAM TUBE 120G,4,25783,103132
BALSEM BALPIRIK 20G,3,,    
BALSEM OTOT GELIGA,2,4033,8066
HANSAPLASH SACHET,319,280,89320
KETOCONAZOLE KRIM,6,7636,45816
SALEP HITAM,5,,    
MICONAZOLE KRIM,1,,    
SALEP 24,5,,    
PAGODA SALEP,11,5350,58850
SALEP 88,5,,    
KALPANAX SALEP,11,,    
KALPANAX KRIM,10,,    
BETADINE FEMININE 60ML,1,27964,27964
KETOMED 60 ML,1,42907,42907
SELSUN BLUE,1,,    
NOROID 80ML,1,,    
NATUR E BL HIJAU 100ML ,1,10500,10500
NOROID 200ML ,1,154654,154654
NATUR E ADVANCE 100ML,2,,    
NATUR E ADVANCE 240ML,2,27810,55620
SUTRA MERAH ,7,17563,122941
SUTRA HITAM,2,,    
TISSUE LOVER MEN'S,2,,    
FIESTA BUBLEGUM,1,10091,10091
FIESTA MAX DOTTED,2,11080,22160
FIESTA GRAPE,2,10091,20182
SENSITIVE TESTPACK,2,19000,38000
TEST KEHAMILAN ONEMED,36,,    
TEST KEHAMILAN STERIL,39,,    
SOFTEX,3,29900,89700
BYE-BYE FEVER BABY,10,5801,58010
BYE-BYE FEVER ANAK,6,82613,495678
SALONPAS,8,5554,44432
SALONPAS HOT,18,51820,932760
KOYO CABE,9,9900,89100
BETADINE 5ML,5,6300,31500
BETADINE 30ML,2,7350,14700
THERMOMETER ALCOHOL RUANGAN,1,,    
THERMOMETER DIGITAL RUANGAN,1,,    
LANCING,6,,    
THERMOMETER DIGITAL BADAN ,1,,    
KASA STERIL,9,5900,53100
KAPAS 25G,6,,    
KAPAS 50G,1,19500,19500
KAPAS 100G,1,,    
ALKOHOL 300ML,2,,    
RIVANOL 100ML,5,,    
ALKOHOL 100ML,13,,    
BEDAK SALICIL,6,,    
CALADIN LOTION,1,,    
ACYCLOVIR KRIM 5G,7,,    
BETASON N KRIM 5G,7,,    
BIOPLACENTON KRIM 15G,3,,    
BETAMETASONE KRIM 5G,15,,    
GENTAMYCIN KRIM 5G,11,,    
HYDROCORTISONE 5G,15,,    
FUSYCOM KRIM 5G,1,,    
KENALOG KRIM 5G,1,,    
MELANOX KRIM 15G,1,,    
KALMICETIN KRIM 15G,1,,    
INERSON KRIM 15G,1,,    
DIGENTA KRIM 10G,1,,    
SCABIMITE 10G,1,,    
OXYTETRACYCLINE KRIM 5G,21,,    
PI KANG SHUANG KRIM 5G,2,,    
SUCRALFATE SIRUP 100ML,3,,    
TROGYL SIRUP 60ML,2,,    
MAXPRINOL SIRUP 60ML,3,,    
VALPROIC ACID 250MG/5ML 120ML,1,,    
YUSIMOX SIRUP 60ML,6,,    
CEFADROXIL 125MG 60 ML,3,,    
KOLKATRIOL 30 KAPSUL,1,,    
ANDALAN PIL KB ,8,,    
ALBOTHYL 5ML,1,,    
ALOCLAIR PLUS GEL 8ML,2,,    
CO-AMOXICLAV 625MG,70,,    
INPEPSA SIRUP 100ML,1,,    
NYSTATIN SUSPENSI 12ML,1,,    
AMBROXOL SIRUP 60ML,6,,    
CETIRIZINE HCL SIRUP 60ML,2,,    
DOMPERIDONE SIRUP ,1,,    
DEPAKENE 250MG/5ML 120ML,1,,    
HEROCYN 50G,1,,    
HEROCYN 85G,2,,    
HEROCYN 150G,1,,    
HEROCYN BABY 100G,2,,    
BDM 4 G,65,,    
BDM 5 G,3,,    
BDM 3 G,125,,    
VITAMIN C IPI,4,,    
VICEE 500 STRAWBERRY,82,,    
VICEE 500 ANGGUR,86,,    
VICEE 500 JERUK,108,,    
ATOR 20MG,210,,    
ATOR 10MG,110,,    
DOPAMET 250MG,500,,    
NELCO SYR,2,,    
ANTASIDA SYR,1,,    
